Group,lhs,rhs,pair,M_median_log2,M_lower95,M_upper95,Pr_equiv,delta_log2
1,KO+DMSO,KO+compound,KO+DMSO vs KO+compound,1.4723768717408579,0.734937961211328,2.2970610242681384,0.1133,1
1,KO+DMSO,WT+DMSO,KO+DMSO vs WT+DMSO,1.9621886309280034,1.2664440852848822,2.7608357452265864,0.0026,1
1,KO+compound,WT+DMSO,KO+compound vs WT+DMSO,0.5194906275581104,0.07503932014139382,1.0794314349590397,0.9547,1
1,KO+compound,WT+compound,KO+compound vs WT+compound,0.7375477911397215,0.2545401999118872,1.4435408478718132,0.7831,1
2,KO+DMSO,KO+compound,KO+DMSO vs KO+compound,0.6654630286767249,0.11561937882097123,1.230889572274878,0.8745,1
2,KO+DMSO,WT+DMSO,KO+DMSO vs WT+DMSO,1.068644292080741,0.5183151090697838,1.6845417113762662,0.404,1
2,KO+compound,WT+DMSO,KO+compound vs WT+DMSO,0.47502111999402885,0.1084629641533694,1.0811664058228907,0.956,1
2,KO+compound,WT+compound,KO+compound vs WT+compound,0.6685137544517166,0.2807847599986181,1.2526114798534347,0.877,1
3,KO+DMSO,KO+compound,KO+DMSO vs KO+compound,0.30769198310934165,0.02348933326626206,0.875298332092007,0.991,1
3,KO+DMSO,WT+DMSO,KO+DMSO vs WT+DMSO,0.8032360069460271,0.2815867415916102,1.315102679646627,0.7749,1
3,KO+compound,WT+DMSO,KO+compound vs WT+DMSO,0.5196669771770072,0.049095550773561786,1.0890023966162234,0.9517,1
3,KO+compound,WT+compound,KO+compound vs WT+compound,0.2689614940482983,0.028154693150815195,0.8423069739612847,0.9928,1
4,KO+DMSO,KO+compound,KO+DMSO vs KO+compound,1.1226818711369377,0.2528262925333644,2.7097340894050648,0.4232,1
4,KO+DMSO,WT+DMSO,KO+DMSO vs WT+DMSO,1.7156328665015492,0.5185407569908359,3.205389245266283,0.1449,1
4,KO+compound,WT+DMSO,KO+compound vs WT+DMSO,1.1711155535529922,0.22813816632347034,2.67503222038218,0.3937,1
4,KO+compound,WT+compound,KO+compound vs WT+compound,0.5150375994008372,0.03447203736727975,1.7173168001958576,0.8182,1
5,KO+DMSO,KO+compound,KO+DMSO vs KO+compound,1.457674644342525,0.6692616213531306,2.4059399164278537,0.1444,1
5,KO+DMSO,WT+DMSO,KO+DMSO vs WT+DMSO,1.7519551707304555,1.0088888467127264,2.669333374206088,0.0232,1
5,KO+compound,WT+DMSO,KO+compound vs WT+DMSO,0.3389484521316455,0.04245989628975273,0.8516853588187338,0.9934,1
5,KO+compound,WT+compound,KO+compound vs WT+compound,0.233042292251588,0.0183894590574645,0.7211598300800894,0.9984,1
6,KO+DMSO,KO+compound,KO+DMSO vs KO+compound,2.6394864358519543,1.2105281530973755,4.037728345888341,0.0115,1
6,KO+DMSO,WT+DMSO,KO+DMSO vs WT+DMSO,3.019215650898916,1.7516031156774226,4.32162731129874,6e-4,1
6,KO+compound,WT+DMSO,KO+compound vs WT+DMSO,0.5181434608353082,0.027018212837245988,1.6849505488661447,0.808,1
6,KO+compound,WT+compound,KO+compound vs WT+compound,0.4840956761859826,0.0273362209227881,1.6201973366728617,0.835,1
7,KO+DMSO,KO+compound,KO+DMSO vs KO+compound,2.8890979572633126,1.0311713498505308,4.793748791112163,0.0233,1
7,KO+DMSO,WT+DMSO,KO+DMSO vs WT+DMSO,3.232903372105007,1.570539511994568,4.926278715139122,0.0038,1
7,KO+compound,WT+DMSO,KO+compound vs WT+DMSO,1.1180245557485056,0.2980120843828577,2.7303456110990294,0.4241,1
7,KO+compound,WT+compound,KO+compound vs WT+compound,1.1191433488815825,0.28569518187952797,2.719466202139533,0.4262,1
8,KO+DMSO,KO+compound,KO+DMSO vs KO+compound,0.7983382930126035,0.05610610026542338,2.6297019702785835,0.6036,1
8,KO+DMSO,WT+DMSO,KO+DMSO vs WT+DMSO,2.774771897434071,0.8323827559594319,4.803693108126061,0.0375,1
8,KO+compound,WT+DMSO,KO+compound vs WT+DMSO,2.4564463522319446,0.5693766372152441,4.706720660059564,0.0826,1
8,KO+compound,WT+compound,KO+compound vs WT+compound,1.0211493265742075,0.059073247046186335,3.2683811378860392,0.4909,1
