"Condition1","Condition2","p.value","p.adjusted","adjustment_method","method"
"Mut2","Mut1",1,1,"holm","Wilcoxon rank sum exact test"
"Mut3","Mut1",1,1,"holm","Wilcoxon rank sum exact test"
"Mut4","Mut1",1,1,"holm","Wilcoxon rank sum exact test"
"MUT+DMSO","Mut1",1,1,"holm","Wilcoxon rank sum exact test"
"WT+DMSO","Mut1",1,1,"holm","Wilcoxon rank sum exact test"
"Mut3","Mut2",1,1,"holm","Wilcoxon rank sum exact test"
"Mut4","Mut2",1,1,"holm","Wilcoxon rank sum exact test"
"MUT+DMSO","Mut2",1,1,"holm","Wilcoxon rank sum exact test"
"WT+DMSO","Mut2",1,1,"holm","Wilcoxon rank sum exact test"
"Mut4","Mut3",1,1,"holm","Wilcoxon rank sum exact test"
"MUT+DMSO","Mut3",1,1,"holm","Wilcoxon rank sum exact test"
"WT+DMSO","Mut3",1,1,"holm","Wilcoxon rank sum exact test"
"MUT+DMSO","Mut4",1,1,"holm","Wilcoxon rank sum exact test"
"WT+DMSO","Mut4",1,1,"holm","Wilcoxon rank sum exact test"
"WT+DMSO","MUT+DMSO",1,1,"holm","Wilcoxon rank sum exact test"
