"Condition","loc_coord","loc_id","plate","seconds","normalized_sums"
"WT+DMSO","A1",1,1,1,0.468446016926042
"WT+DMSO","A1",1,2,1,0.291608512386973
"WT+DMSO","A2",2,1,1,0.224300904135942
"WT+DMSO","A2",2,2,1,0.218793069341475
"Mut1","A3",3,1,1,0.624879194018295
"Mut1","A3",3,2,1,0.219713264500841
"Mut1","A4",4,1,1,0.132254715875863
"Mut1","A4",4,2,1,0.177197580905777
"Mut2","A5",5,1,1,0.138069282390119
"Mut2","A5",5,2,1,0.303797764208143
"Mut2","A6",6,1,1,0.372905754292717
"Mut2","A6",6,2,1,0.187159693718046
"Mut3","A7",7,1,1,0.136095530454087
"Mut3","A7",7,2,1,0.525324746704256
"Mut3","A8",8,1,1,0.545995797385671
"Mut3","A8",8,2,1,0.311972831348599
"Mut4","A9",9,1,1,0.817973479706166
"Mut4","A9",9,2,1,0.0501039596194027
"Mut4","A10",10,1,1,0.511668517092793
"Mut4","A10",10,2,1,0.146857812970152
"MUT+DMSO","A11",11,1,1,0.634574583595964
"MUT+DMSO","A11",11,2,1,0.238957345877151
"MUT+DMSO","A12",12,1,1,0.144684018608171
"MUT+DMSO","A12",12,2,1,0.389469267161309
"WT+DMSO","B1",13,1,1,0.434892234013501
"WT+DMSO","B1",13,2,1,0.225821226573156
"WT+DMSO","B2",14,1,1,0.315453569560115
"WT+DMSO","B2",14,2,1,0.158633643777694
"Mut1","B3",15,1,1,0.642109514973383
"Mut1","B3",15,2,1,0.0320067881518676
"Mut1","B4",16,1,1,0.399964826442775
"Mut1","B4",16,2,1,0.228435114272225
"Mut2","B5",17,1,1,0.667221507510869
"Mut2","B5",17,2,1,0.263589236592359
"Mut2","B6",18,1,1,0.254787369850596
"Mut2","B6",18,2,1,0.0702682361550793
"Mut3","B7",19,1,1,0.273711383345387
"Mut3","B7",19,2,1,0.159113745599972
"Mut3","B8",20,1,1,0.584110547609853
"Mut3","B8",20,2,1,0.180811680734592
"Mut4","B9",21,1,1,1.52623035686008
"Mut4","B9",21,2,1,0.0818973691835911
"Mut4","B10",22,1,1,0.77095017344638
"Mut4","B10",22,2,1,0.141816743836233
"MUT+DMSO","B11",23,1,1,0.305251405836707
"MUT+DMSO","B11",23,2,1,0.258974924633798
"MUT+DMSO","B12",24,1,1,0.501866438221283
"MUT+DMSO","B12",24,2,1,0.21263176262224
"WT+DMSO","C1",25,1,1,0.681371175106341
"WT+DMSO","C1",25,2,1,0.363277045523697
"WT+DMSO","C2",26,1,1,0.254907395306165
"WT+DMSO","C2",26,2,1,0.401898569893617
"Mut1","C3",27,1,1,0.225114410001469
"Mut1","C3",27,2,1,0.342392616254603
"Mut1","C4",28,1,1,0.161060825212544
"Mut1","C4",28,2,1,0.376653215738832
"Mut2","C5",29,1,1,1.18333096645973
"Mut2","C5",29,2,1,0.272057699290874
"Mut2","C6",30,1,1,0.122626007106843
"Mut2","C6",30,2,1,0.391096278892362
"Mut3","C7",31,1,1,0.664327560415471
"Mut3","C7",31,2,1,0.211018087052917
"Mut3","C8",32,1,1,0.0235116531298927
"Mut3","C8",32,2,1,0.000320067881518676
"Mut4","C9",33,1,1,0.0149631734609981
"Mut4","C9",33,2,1,0.0582123459512091
"Mut4","C10",34,1,1,0.166448634551441
"Mut4","C10",34,2,1,0.482075574214045
"MUT+DMSO","C11",35,1,1,0.242198033177528
"MUT+DMSO","C11",35,2,1,0.237863780615296
