"Condition","loc_coord","loc_id","plate","seconds","normalized_sums"
"WT+DMSO","A1",1,1,1,0.169949073760275
"WT+DMSO","A1",1,2,1,0.0168731424306516
"WT+DMSO","A2",2,1,1,0.285103922101423
"WT+DMSO","A2",2,2,1,1.68383524462585
"Mut1","A3",3,1,1,0.201434009636027
"Mut1","A3",3,2,1,0.729372022801261
"Mut1","A4",4,1,1,0.138116238040592
"Mut1","A4",4,2,1,0.0299193865780627
"Mut2","A5",5,1,1,0
"Mut2","A5",5,2,1,0.207174357060888
"Mut2","A6",6,1,1,0.24596518965919
"Mut2","A6",6,2,1,0.000695799687861923
"Mut3","A7",7,1,1,0.115676698107045
"Mut3","A7",7,2,1,0.3618158376882
"Mut3","A8",8,1,1,1.93397523241222
"Mut3","A8",8,2,1,0.000173949921965481
"Mut4","A9",9,1,1,1.00351709981886
"Mut4","A9",9,2,1,0.0151336432109968
"Mut4","A10",10,1,1,0
"Mut4","A10",10,2,1,0.503237124246136
"MUT+DMSO","A11",11,1,1,0.421132761078429
"MUT+DMSO","A11",11,2,1,1.48553233358521
"MUT+DMSO","A12",12,1,1,0.229961796838366
"MUT+DMSO","A12",12,2,1,0.0737547669133638
"WT+DMSO","B1",13,1,1,0.391387324422332
"WT+DMSO","B1",13,2,1,0.00260924882948221
"WT+DMSO","B2",14,1,1,0.286669471399112
"WT+DMSO","B2",14,2,1,0.560118748728848
"Mut1","B3",15,1,1,0.220742450974195
"Mut1","B3",15,2,1,0.0387908325983022
"Mut1","B4",16,1,1,0.44879079867094
"Mut1","B4",16,2,1,0.0763640157428461
"Mut2","B5",17,1,1,0.533504410668129
"Mut2","B5",17,2,1,0.164382676257379
"Mut2","B6",18,1,1,0.424437809595773
"Mut2","B6",18,2,1,0.210305455656266
"Mut3","B7",19,1,1,0
"Mut3","B7",19,2,1,0.224743299179401
"Mut3","B8",20,1,1,0.943330426818802
"Mut3","B8",20,2,1,0.390169674968573
"Mut4","B9",21,1,1,5.81288454232047
"Mut4","B9",21,2,1,0.0203521408699612
"Mut4","B10",22,1,1,0.576122141549672
"Mut4","B10",22,2,1,0.000173949921965481
"MUT+DMSO","B11",23,1,1,0.490538779942656
"MUT+DMSO","B11",23,2,1,0.136028838977006
"MUT+DMSO","B12",24,1,1,0.00173949921965481
"MUT+DMSO","B12",24,2,1,0.00313109859537865
"WT+DMSO","C1",25,1,1,0.637874363847418
"WT+DMSO","C1",25,2,1,0.185778516659133
"WT+DMSO","C2",26,1,1,0
"WT+DMSO","C2",26,2,1,1.16059387935369
"Mut1","C3",27,1,1,0
"Mut1","C3",27,2,1,0.00191344914162029
"Mut1","C4",28,1,1,1.50379707539158
"Mut1","C4",28,2,1,2.40885851937798
"Mut2","C5",29,1,1,0.674055947616238
"Mut2","C5",29,2,1,0.332244350954068
"Mut2","C6",30,1,1,0.0238311393092709
"Mut2","C6",30,2,1,3.52387751917671
"Mut3","C7",31,1,1,2.81485763724541
"Mut3","C7",31,2,1,0.457836194613145
"Mut3","C8",32,1,1,0
"Mut3","C8",32,2,1,0
"Mut4","C9",33,1,1,0.000347899843930962
"Mut4","C9",33,2,1,0.124548144127284
"Mut4","C10",34,1,1,0
"Mut4","C10",34,2,1,0.473317737668073
"MUT+DMSO","C11",35,1,1,0
"MUT+DMSO","C11",35,2,1,1.27818402660235
"MUT+DMSO","C12",36,1,1,0.151510382031934
"MUT+DMSO","C12",36,2,1,0.185604566737168
"WT+DMSO","D1",37,1,1,0.15551123023714
"WT+DMSO","D1",37,2,1,0.559944798806883
"WT+DMSO","D2",38,1,1,4.17079727896633
"WT+DMSO","D2",38,2,1,0.0259185383728566
"Mut1","D3",39,1,1,0
"Mut1","D3",39,2,1,0.128896892176421
"Mut1","D4",40,1,1,0.766597306101874
"Mut1","D4",40,2,1,0.414696613965706
"Mut2","D5",41,1,1,0
"Mut2","D5",41,2,1,1.60607962950728
"Mut2","D6",42,1,1,0
"Mut2","D6",42,2,1,1.73897736988891
"Mut3","D7",43,1,1,2.84964762163851
"Mut3","D7",43,2,1,0.133071690303593
