"Condition","loc_coord","loc_id","plate","seconds","normalized_sums"
"WT+DMSO","A1",1,1,1,0.657984867515922
"WT+DMSO","A1",1,2,1,0.31242854579621
"WT+DMSO","A2",2,1,1,0.103576238976328
"WT+DMSO","A2",2,2,1,0.134022062687094
"Mut1","A3",3,1,1,0.695456650544557
"Mut1","A3",3,2,1,0.167603126308522
"Mut1","A4",4,1,1,0
"Mut1","A4",4,2,1,0.248590528338153
"Mut2","A5",5,1,1,0.0807985321554944
"Mut2","A5",5,2,1,0.377513104423568
"Mut2","A6",6,1,1,0.285004640071625
"Mut2","A6",6,2,1,0.240393575800639
"Mut3","A7",7,1,1,0.256938576774976
"Mut3","A7",7,2,1,0.538807976935938
"Mut3","A8",8,1,1,0.351146869994145
"Mut3","A8",8,2,1,0.298263305235991
"Mut4","A9",9,1,1,1.00697862094491
"Mut4","A9",9,2,1,0.0682953464876736
"Mut4","A10",10,1,1,0.566911814207415
"Mut4","A10",10,2,1,0.0341854472186641
"MUT+DMSO","A11",11,1,1,0.652469867191143
"MUT+DMSO","A11",11,2,1,0.244019877384055
"MUT+DMSO","A12",12,1,1,0.374302316563251
"MUT+DMSO","A12",12,2,1,0.606121200078103
"WT+DMSO","B1",13,1,1,0.341061218715268
"WT+DMSO","B1",13,2,1,0.220902204789776
"WT+DMSO","B2",14,1,1,0.317301388548926
"WT+DMSO","B2",14,2,1,0.181957236742878
"Mut1","B3",15,1,1,0.709961856878222
"Mut1","B3",15,2,1,0.0145429803084924
"Mut1","B4",16,1,1,0.598113117414726
"Mut1","B4",16,2,1,0.240318027850984
"Mut2","B5",17,1,1,1.27642038338771
"Mut2","B5",17,2,1,0.26581546085938
"Mut2","B6",18,1,1,0.961952042950828
"Mut2","B6",18,2,1,0.0337699334955643
"Mut3","B7",19,1,1,0.261886967477346
"Mut3","B7",19,2,1,0.173646962280883
"Mut3","B8",20,1,1,0.332864266177754
"Mut3","B8",20,2,1,0.134059836661921
"Mut4","B9",21,1,1,1.63262896600871
"Mut4","B9",21,2,1,0.0783054498168957
"Mut4","B10",22,1,1,0.399573105722683
"Mut4","B10",22,2,1,0.266382070481789
"MUT+DMSO","B11",23,1,1,0.157479701054818
"MUT+DMSO","B11",23,2,1,0.247495083068162
"MUT+DMSO","B12",24,1,1,0.657795997641786
"MUT+DMSO","B12",24,2,1,0.0125787336174753
"WT+DMSO","C1",25,1,1,0.742296379330351
"WT+DMSO","C1",25,2,1,0.368825090213299
"WT+DMSO","C2",26,1,1,0.12816709658887
"WT+DMSO","C2",26,2,1,0.351826801541035
"Mut1","C3",27,1,1,0
"Mut1","C3",27,2,1,0.295807996872219
"Mut1","C4",28,1,1,0.00736592509131436
"Mut1","C4",28,2,1,0.193025011367263
"Mut2","C5",29,1,1,1.72385311521652
"Mut2","C5",29,2,1,0.238089363336176
"Mut2","C6",30,1,1,0.073130415265562
"Mut2","C6",30,2,1,0.161068228663407
"Mut3","C7",31,1,1,0.815389020621086
"Mut3","C7",31,2,1,0.118572506982748
"Mut3","C8",32,1,1,0
"Mut3","C8",32,2,1,0.000113321924481759
"Mut4","C9",33,1,1,0
"Mut4","C9",33,2,1,0.000566609622408797
"Mut4","C10",34,1,1,0
"Mut4","C10",34,2,1,0.0205112683311984
"MUT+DMSO","C11",35,1,1,0.289046455378141
"MUT+DMSO","C11",35,2,1,0.0979856907018946
"MUT+DMSO","C12",36,1,1,0.298527723059781
"MUT+DMSO","C12",36,2,1,0.241677890944765
"WT+DMSO","D1",37,1,1,0.507833317577591
"WT+DMSO","D1",37,2,1,0.368145158666409
"WT+DMSO","D2",38,1,1,0.313448443116546
"WT+DMSO","D2",38,2,1,0.000717705521717809
"Mut1","D3",39,1,1,0.0178293161184635
"Mut1","D3",39,2,1,0.0884666490454268
"Mut1","D4",40,1,1,0
"Mut1","D4",40,2,1,0.0516747975636823
"Mut2","D5",41,1,1,0.579188356026272
"Mut2","D5",41,2,1,0.307706798942804
"Mut2","D6",42,1,1,0.360779233575094
"Mut2","D6",42,2,1,0.000566609622408797
"Mut3","D7",43,1,1,1.5612361535852
"Mut3","D7",43,2,1,0.14879168684455
"Mut3","D8",44,1,1,0.414418277829794
"Mut3","D8",44,2,1,0.0615715789684226
"Mut4","D9",45,1,1,1.26958329394398
"Mut4","D9",45,2,1,0.0678042848149193
"Mut4","D10",46,1,1,1.509674677946
"Mut4","D10",46,2,1,0.0821583952492755
"MUT+DMSO","D11",47,1,1,0.656662778396968
"MUT+DMSO","D11",47,2,1,0.126618363620952
"MUT+DMSO","D12",48,1,1,1.61838817749883
"MUT+DMSO","D12",48,2,1,0.0852558611851103
"WT+DMSO","E1",49,1,1,1.58152077806743
"WT+DMSO","E1",49,2,1,0.248401658464016
"WT+DMSO","E2",50,1,1,0.866610530486841
"WT+DMSO","E2",50,2,1,0.0185470216401813
"Mut1","E3",51,1,1,1.00467440848045
"Mut1","E3",51,2,1,0.030748015509384
"Mut1","E4",52,1,1,0.65552955915215
"Mut1","E4",52,2,1,0.0575297636619065
"Mut2","E5",53,1,1,0.975361804014503
"Mut2","E5",53,2,1,0.158499598375154
"Mut2","E6",54,1,1,1.31253230332256
"Mut2","E6",54,2,1,0.452343348556356
"Mut3","E7",55,1,1,0.950053240880243
"Mut3","E7",55,2,1,0.226001691391455
"Mut3","E8",56,1,1,0.567969485502578
"Mut3","E8",56,2,1,0.0680309286638829
"Mut4","E9",57,1,1,0.213649601622944
"Mut4","E9",57,2,1,0.00823472651234118
"Mut4","E10",58,1,1,0.413171736660495
"Mut4","E10",58,2,1,0.123634219609599
"MUT+DMSO","E11",59,1,1,0.373471289117052
"MUT+DMSO","E11",59,2,1,0.10712699261009
"MUT+DMSO","E12",60,1,1,0
"MUT+DMSO","E12",60,2,1,0.0295392483149119
"WT+DMSO","F1",61,1,1,0.697194253386611
"WT+DMSO","F1",61,2,1,0.0990433619970577
"WT+DMSO","F2",62,1,1,0.0908464094595437
"WT+DMSO","F2",62,2,1,0.206359224481284
"Mut1","F3",63,1,1,0.00513726057650642
"Mut1","F3",63,2,1,0.0942460671939965
"Mut1","F4",64,1,1,0
"Mut1","F4",64,2,1,0.000226643848963519
"Mut2","F5",65,1,1,0.000264417823790772
"Mut2","F5",65,2,1,0.0358475021110632
"Mut2","F6",66,1,1,0
"Mut2","F6",66,2,1,0.139763706860837
"Mut3","F7",67,1,1,0.486075508077093
"Mut3","F7",67,2,1,0.341023444740441
"Mut3","F8",68,1,1,0.288857585504005
"Mut3","F8",68,2,1,0.28273820158199
"Mut4","F9",69,1,1,0.606763357650167
"Mut4","F9",69,2,1,0.301171901297689
"Mut4","F10",70,1,1,1.2217992157875
"Mut4","F10",70,2,1,0.000264417823790772
"MUT+DMSO","F11",71,1,1,0.349031527403819
"MUT+DMSO","F11",71,2,1,0.0310124333331748
"MUT+DMSO","F12",72,1,1,0.960214440108774
"MUT+DMSO","F12",72,2,1,0.109015691351452
"WT+DMSO","G1",73,1,1,0.792611313800252
"WT+DMSO","G1",73,2,1,0.316885874825826
"WT+DMSO","G2",74,1,1,0.862304297356534
"WT+DMSO","G2",74,2,1,0.274427927119994
"Mut1","G3",75,1,1,0.767907134263229
"Mut1","G3",75,2,1,0.195027032033108
"Mut1","G4",76,1,1,1.60210759434829
"Mut1","G4",76,2,1,0.428281326591396
"Mut2","G5",77,1,1,2.28506105922502
"Mut2","G5",77,2,1,0.0130697952902296
"Mut2","G6",78,1,1,0.984314236048562
"Mut2","G6",78,2,1,0.339285841898387
"Mut3","G7",79,1,1,1.8600660684436
"Mut3","G7",79,2,1,0.0599472980508507
"Mut3","G8",80,1,1,0.919342999345686
"Mut3","G8",80,2,1,0.353942144131362
"Mut4","G9",81,1,1,0.321872039503024
"Mut4","G9",81,2,1,0.299169880631845
"Mut4","G10",82,1,1,0.502242769303157
"Mut4","G10",82,2,1,0.212931896101226
"MUT+DMSO","G11",83,1,1,0.593429144536146
"MUT+DMSO","G11",83,2,1,0.19582028550448
"MUT+DMSO","G12",84,1,1,0.563247738649171
"MUT+DMSO","G12",84,2,1,0.342118890010431
"WT+DMSO","H1",85,1,1,0.516672427687168
"WT+DMSO","H1",85,2,1,0.310199881281403
"WT+DMSO","H2",86,1,1,0.424843894882116
"WT+DMSO","H2",86,2,1,0.097759046852931
"Mut1","H3",87,1,1,0.590331678600312
"Mut1","H3",87,2,1,0.180937339422542
"Mut1","H4",88,1,1,0.760843400970532
"Mut1","H4",88,2,1,0.0131075692650568
"Mut2","H5",89,1,1,0.963878515667018
"Mut2","H5",89,2,1,0.176744428216717
"Mut2","H6",90,1,1,0.763525353183267
"Mut2","H6",90,2,1,0.473270130610654
"Mut3","H7",91,1,1,0.744298399996195
"Mut3","H7",91,2,1,0.000151095899309012
"Mut3","H8",92,1,1,0.658173737390058
"Mut3","H8",92,2,1,0.256900802800148
"Mut4","H9",93,1,1,0.565967464836733
"Mut4","H9",93,2,1,0.0963236358094954
"Mut4","H10",94,1,1,0.299660942304599
"Mut4","H10",94,2,1,0.0676909628904376
"MUT+DMSO","H11",95,1,1,0.311370874501047
"MUT+DMSO","H11",95,2,1,0.263284604545954
"MUT+DMSO","H12",96,1,1,0.289008681403314
"MUT+DMSO","H12",96,2,1,0.150982577384531
