time	location	data1	data2
0	Loc01	0	0
0	Loc02	0	0
0	Loc03	0	13
0	Loc04	0	1
0	Loc05	0	6
0	Loc06	0	0
0	Loc07	0	29
0	Loc08	0	0
0	Loc09	0	0
0	Loc10	0	0
0	Loc11	3	0
0	Loc12	0	0
0	Loc13	0	0
0	Loc14	0	0
0	Loc15	0	0
0	Loc16	0	0
0	Loc17	2	83
0	Loc18	0	0
0	Loc19	0	0
0	Loc20	0	0
0	Loc21	6	0
0	Loc22	0	0
0	Loc23	0	0
0	Loc24	0	0
0	Loc25	0	0
0	Loc26	0	0
0	Loc27	0	1
0	Loc28	20	0
0	Loc29	0	14
0	Loc30	0	0
0	Loc31	0	21
0	Loc32	0	0
0	Loc33	0	0
0	Loc34	0	0
0	Loc35	0	0
0	Loc36	0	41
0	Loc37	0	0
0	Loc38	17	0
0	Loc39	0	46
0	Loc40	43	20
0	Loc41	0	57
0	Loc42	207	0
0	Loc43	55	47
0	Loc44	0	0
0	Loc45	0	0
0	Loc46	157	0
0	Loc47	7	0
0	Loc48	164	0
0	Loc49	86	0
0	Loc50	0	0
0	Loc51	64	0
0	Loc52	0	0
0	Loc53	0	0
0	Loc54	0	0
0	Loc55	20	0
0	Loc56	54	0
0	Loc57	0	0
0	Loc58	0	0
0	Loc59	99	0
0	Loc60	0	0
0	Loc61	4	0
0	Loc62	0	0
0	Loc63	0	0
0	Loc64	0	0
0	Loc65	0	0
0	Loc66	0	0
0	Loc67	0	47
0	Loc68	35	0
0	Loc69	0	0
0	Loc70	0	0
0	Loc71	0	0
0	Loc72	0	28
0	Loc73	0	58
0	Loc74	0	0
0	Loc75	0	0
0	Loc76	115	49
0	Loc77	48	0
0	Loc78	48	0
0	Loc79	12	0
0	Loc80	17	0
0	Loc81	0	0
0	Loc82	21	0
0	Loc83	0	0
0	Loc84	0	0
0	Loc85	1	0
0	Loc86	0	0
0	Loc87	0	0
0	Loc88	66	27
0	Loc89	0	0
0	Loc90	0	0
0	Loc91	0	0
0	Loc92	7	0
0	Loc93	0	0
0	Loc94	3	0
0	Loc95	0	0
0	Loc96	0	0
33533	Loc01	41	0
33533	Loc02	0	0
33533	Loc03	114	2
33533	Loc04	0	0
33533	Loc05	0	0
33533	Loc06	0	0
33533	Loc07	0	2
33533	Loc08	0	0
33533	Loc09	0	0
33533	Loc10	0	0
33533	Loc11	1	0
33533	Loc12	0	0
33533	Loc13	0	0
33533	Loc14	0	0
33533	Loc15	0	0
33533	Loc16	0	0
33533	Loc17	0	141
33533	Loc18	0	0
33533	Loc19	0	0
33533	Loc20	12	0
33533	Loc21	5	0
33533	Loc22	0	0
33533	Loc23	0	0
33533	Loc24	0	0
33533	Loc25	0	0
33533	Loc26	0	2
33533	Loc27	0	0
33533	Loc28	70	0
33533	Loc29	0	13
33533	Loc30	0	0
33533	Loc31	0	20
33533	Loc32	0	0
33533	Loc33	0	0
33533	Loc34	0	0
33533	Loc35	0	0
33533	Loc36	0	76
33533	Loc37	0	0
33533	Loc38	210	0
33533	Loc39	0	36
33533	Loc40	31	7
33533	Loc41	0	38
33533	Loc42	117	0
33533	Loc43	51	39
33533	Loc44	0	0
33533	Loc45	0	0
33533	Loc46	57	0
33533	Loc47	1	0
33533	Loc48	106	0
33533	Loc49	60	0
33533	Loc50	0	0
33533	Loc51	58	0
33533	Loc52	0	0
33533	Loc53	0	0
33533	Loc54	63	0
33533	Loc55	7	0
33533	Loc56	59	0
33533	Loc57	0	0
33533	Loc58	0	0
33533	Loc59	72	0
33533	Loc60	0	0
33533	Loc61	2	0
33533	Loc62	0	0
33533	Loc63	0	0
33533	Loc64	0	0
33533	Loc65	0	0
33533	Loc66	0	0
33533	Loc67	0	15
33533	Loc68	138	0
33533	Loc69	0	0
33533	Loc70	0	0
33533	Loc71	42	0
33533	Loc72	0	24
33533	Loc73	4	21
33533	Loc74	7	0
33533	Loc75	0	0
33533	Loc76	104	40
33533	Loc77	31	0
33533	Loc78	28	0
33533	Loc79	90	0
33533	Loc80	3	132
33533	Loc81	0	0
33533	Loc82	18	0
33533	Loc83	0	0
33533	Loc84	0	0
33533	Loc85	0	0
33533	Loc86	0	0
33533	Loc87	0	0
33533	Loc88	45	6
33533	Loc89	1	0
33533	Loc90	0	0
33533	Loc91	5	0
33533	Loc92	0	0
33533	Loc93	0	0
33533	Loc94	1	0
33533	Loc95	0	0
33533	Loc96	0	0
66385	Loc01	31	0
66385	Loc02	0	0
66385	Loc03	105	0
66385	Loc04	0	0
66385	Loc05	0	0
66385	Loc06	0	0
66385	Loc07	0	0
66385	Loc08	0	5
66385	Loc09	0	0
66385	Loc10	0	0
66385	Loc11	1	0
66385	Loc12	0	0
66385	Loc13	0	0
66385	Loc14	0	0
66385	Loc15	0	0
66385	Loc16	0	0
66385	Loc17	0	89
66385	Loc18	0	0
66385	Loc19	0	0
66385	Loc20	106	0
66385	Loc21	5	0
66385	Loc22	0	0
66385	Loc23	0	0
66385	Loc24	87	0
66385	Loc25	0	0
66385	Loc26	0	5
66385	Loc27	0	0
66385	Loc28	82	14
66385	Loc29	0	6
66385	Loc30	0	0
66385	Loc31	0	0
66385	Loc32	0	0
66385	Loc33	0	0
66385	Loc34	0	0
66385	Loc35	0	0
66385	Loc36	0	86
66385	Loc37	0	0
66385	Loc38	111	0
66385	Loc39	0	23
66385	Loc40	23	16
66385	Loc41	64	31
66385	Loc42	60	0
66385	Loc43	98	24
66385	Loc44	0	0
66385	Loc45	0	0
66385	Loc46	33	0
66385	Loc47	0	0
66385	Loc48	104	0
66385	Loc49	162	0
66385	Loc50	0	0
66385	Loc51	28	0
66385	Loc52	0	0
66385	Loc53	0	0
66385	Loc54	103	82
66385	Loc55	2	0
66385	Loc56	34	0
66385	Loc57	0	0
66385	Loc58	0	0
66385	Loc59	60	0
66385	Loc60	0	0
66385	Loc61	1	0
66385	Loc62	0	0
66385	Loc63	0	0
66385	Loc64	0	0
66385	Loc65	0	0
66385	Loc66	0	0
66385	Loc67	0	1
66385	Loc68	112	0
66385	Loc69	140	0
66385	Loc70	133	0
66385	Loc71	64	0
66385	Loc72	0	6
66385	Loc73	102	2
66385	Loc74	116	0
66385	Loc75	0	0
66385	Loc76	158	10
66385	Loc77	20	0
66385	Loc78	3	0
66385	Loc79	54	0
66385	Loc80	0	154
66385	Loc81	0	0
66385	Loc82	14	0
66385	Loc83	7	0
66385	Loc84	0	0
66385	Loc85	0	0
66385	Loc86	0	0
66385	Loc87	0	0
66385	Loc88	51	0
66385	Loc89	2	0
66385	Loc90	71	0
66385	Loc91	108	0
66385	Loc92	0	0
66385	Loc93	0	0
66385	Loc94	0	0
66385	Loc95	0	0
66385	Loc96	0	0
99880	Loc01	15	0
99880	Loc02	0	0
99880	Loc03	54	0
