"location","bin","time","data1","data2","loc_id","Condition","loc_coord"
"Loc01","(-0.24,1]",1,101,236,1,"WT+DMSO","A1"
"Loc01","(1,2.01]",2,647,232,1,"WT+DMSO","A1"
"Loc01","(2.01,3.01]",3,365,512,1,"WT+DMSO","A1"
"Loc01","(3.01,4.02]",4,193,91,1,"WT+DMSO","A1"
"Loc01","(4.02,5.02]",5,206,633,1,"WT+DMSO","A1"
"Loc01","(5.02,6.03]",6,288,499,1,"WT+DMSO","A1"
"Loc01","(6.03,7.03]",7,13,48,1,"WT+DMSO","A1"
"Loc01","(7.03,8.03]",8,401,189,1,"WT+DMSO","A1"
"Loc01","(8.03,9.04]",9,101,71,1,"WT+DMSO","A1"
"Loc01","(9.04,10]",10,1064,376,1,"WT+DMSO","A1"
"Loc01","(10,11]",11,15,46,1,"WT+DMSO","A1"
"Loc01","(11,12.1]",12,481,507,1,"WT+DMSO","A1"
"Loc01","(12.1,13.1]",13,551,429,1,"WT+DMSO","A1"
"Loc01","(13.1,14.1]",14,283,391,1,"WT+DMSO","A1"
"Loc01","(14.1,15.1]",15,466,178,1,"WT+DMSO","A1"
"Loc01","(15.1,16.1]",16,394,148,1,"WT+DMSO","A1"
"Loc01","(16.1,17.1]",17,395,0,1,"WT+DMSO","A1"
"Loc01","(17.1,18.1]",18,407,414,1,"WT+DMSO","A1"
"Loc01","(18.1,19.1]",19,755,231,1,"WT+DMSO","A1"
"Loc01","(19.1,20.1]",20,867,481,1,"WT+DMSO","A1"
"Loc01","(20.1,21.1]",21,703,0,1,"WT+DMSO","A1"
"Loc01","(21.1,22.1]",22,112,0,1,"WT+DMSO","A1"
"Loc01","(22.1,23.1]",23,534,419,1,"WT+DMSO","A1"
"Loc01","(23.1,24.1]",24,0,270,1,"WT+DMSO","A1"
"Loc01","(24.1,25.1]",25,840,548,1,"WT+DMSO","A1"
"Loc01","(25.1,26.1]",26,88,101,1,"WT+DMSO","A1"
"Loc01","(26.1,27.1]",27,61,666,1,"WT+DMSO","A1"
"Loc01","(27.1,28.1]",28,641,0,1,"WT+DMSO","A1"
"Loc01","(28.1,29.1]",29,482,270,1,"WT+DMSO","A1"
"Loc01","(29.1,30.1]",30,0,235,1,"WT+DMSO","A1"
"Loc01","(30.1,31.1]",31,82,209,1,"WT+DMSO","A1"
"Loc01","(31.1,32.1]",32,790,196,1,"WT+DMSO","A1"
"Loc01","(32.1,33.1]",33,293,295,1,"WT+DMSO","A1"
"Loc01","(33.1,34.1]",34,202,377,1,"WT+DMSO","A1"
"Loc01","(34.1,35.1]",35,184,185,1,"WT+DMSO","A1"
"Loc01","(35.1,36.2]",36,190,29,1,"WT+DMSO","A1"
"Loc01","(36.2,37.2]",37,195,324,1,"WT+DMSO","A1"
"Loc01","(37.2,38.2]",38,349,441,1,"WT+DMSO","A1"
"Loc01","(38.2,39.2]",39,751,0,1,"WT+DMSO","A1"
"Loc01","(39.2,40.2]",40,216,275,1,"WT+DMSO","A1"
"Loc01","(40.2,41.2]",41,6,0,1,"WT+DMSO","A1"
"Loc01","(41.2,42.2]",42,124,97,1,"WT+DMSO","A1"
"Loc01","(42.2,43.2]",43,219,190,1,"WT+DMSO","A1"
"Loc01","(43.2,44.2]",44,137,479,1,"WT+DMSO","A1"
"Loc01","(44.2,45.2]",45,0,0,1,"WT+DMSO","A1"
"Loc01","(45.2,46.2]",46,175,432,1,"WT+DMSO","A1"
"Loc01","(46.2,47.2]",47,238,169,1,"WT+DMSO","A1"
"Loc01","(47.2,48.2]",48,318,514,1,"WT+DMSO","A1"
"Loc01","(48.2,49.2]",49,611,142,1,"WT+DMSO","A1"
"Loc01","(49.2,50.2]",50,456,687,1,"WT+DMSO","A1"
"Loc01","(50.2,51.2]",51,448,103,1,"WT+DMSO","A1"
"Loc01","(51.2,52.2]",52,796,406,1,"WT+DMSO","A1"
"Loc01","(52.2,53.2]",53,482,657,1,"WT+DMSO","A1"
"Loc01","(53.2,54.2]",54,633,132,1,"WT+DMSO","A1"
"Loc01","(54.2,55.2]",55,258,220,1,"WT+DMSO","A1"
"Loc01","(55.2,56.2]",56,136,461,1,"WT+DMSO","A1"
"Loc01","(56.2,57.2]",57,350,494,1,"WT+DMSO","A1"
"Loc01","(57.2,58.2]",58,213,0,1,"WT+DMSO","A1"
