"location","bin","time","loc_id","Condition","loc_coord","Phase","Group","plate","exp_dat"
"Loc01","(-0.24,1]",1,1,"WT+DMSO","A1","Dark","1",1,101
"Loc01","(-0.24,1]",1,1,"WT+DMSO","A1","Dark","1",2,236
"Loc01","(1,2.01]",2,1,"WT+DMSO","A1","Dark","1",1,647
"Loc01","(1,2.01]",2,1,"WT+DMSO","A1","Dark","1",2,232
"Loc01","(2.01,3.01]",3,1,"WT+DMSO","A1","Dark","1",1,365
"Loc01","(2.01,3.01]",3,1,"WT+DMSO","A1","Dark","1",2,512
"Loc01","(3.01,4.02]",4,1,"WT+DMSO","A1","Dark","1",1,193
"Loc01","(3.01,4.02]",4,1,"WT+DMSO","A1","Dark","1",2,91
"Loc01","(4.02,5.02]",5,1,"WT+DMSO","A1","Dark","1",1,206
"Loc01","(4.02,5.02]",5,1,"WT+DMSO","A1","Dark","1",2,633
"Loc01","(5.02,6.03]",6,1,"WT+DMSO","A1","Dark","1",1,288
"Loc01","(5.02,6.03]",6,1,"WT+DMSO","A1","Dark","1",2,499
"Loc01","(6.03,7.03]",7,1,"WT+DMSO","A1","Dark","1",1,13
"Loc01","(6.03,7.03]",7,1,"WT+DMSO","A1","Dark","1",2,48
"Loc01","(7.03,8.03]",8,1,"WT+DMSO","A1","Dark","1",1,401
"Loc01","(7.03,8.03]",8,1,"WT+DMSO","A1","Dark","1",2,189
"Loc01","(8.03,9.04]",9,1,"WT+DMSO","A1","Dark","1",1,101
"Loc01","(8.03,9.04]",9,1,"WT+DMSO","A1","Dark","1",2,71
"Loc01","(9.04,10]",10,1,"WT+DMSO","A1","Dark","1",1,1064
"Loc01","(9.04,10]",10,1,"WT+DMSO","A1","Dark","1",2,376
"Loc01","(10,11]",11,1,"WT+DMSO","A1","Dark","1",1,15
"Loc01","(10,11]",11,1,"WT+DMSO","A1","Dark","1",2,46
"Loc01","(11,12.1]",12,1,"WT+DMSO","A1","Dark","1",1,481
"Loc01","(11,12.1]",12,1,"WT+DMSO","A1","Dark","1",2,507
"Loc01","(12.1,13.1]",13,1,"WT+DMSO","A1","Dark","1",1,551
"Loc01","(12.1,13.1]",13,1,"WT+DMSO","A1","Dark","1",2,429
"Loc01","(13.1,14.1]",14,1,"WT+DMSO","A1","Dark","1",1,283
"Loc01","(13.1,14.1]",14,1,"WT+DMSO","A1","Dark","1",2,391
"Loc01","(14.1,15.1]",15,1,"WT+DMSO","A1","Dark","1",1,466
"Loc01","(14.1,15.1]",15,1,"WT+DMSO","A1","Dark","1",2,178
"Loc01","(15.1,16.1]",16,1,"WT+DMSO","A1","Dark","1",1,394
"Loc01","(15.1,16.1]",16,1,"WT+DMSO","A1","Dark","1",2,148
"Loc01","(16.1,17.1]",17,1,"WT+DMSO","A1","Dark","1",1,395
"Loc01","(16.1,17.1]",17,1,"WT+DMSO","A1","Dark","1",2,0
"Loc01","(17.1,18.1]",18,1,"WT+DMSO","A1","Dark","1",1,407
"Loc01","(17.1,18.1]",18,1,"WT+DMSO","A1","Dark","1",2,414
"Loc01","(18.1,19.1]",19,1,"WT+DMSO","A1","Dark","1",1,755
"Loc01","(18.1,19.1]",19,1,"WT+DMSO","A1","Dark","1",2,231
"Loc01","(19.1,20.1]",20,1,"WT+DMSO","A1","Dark","1",1,867
"Loc01","(19.1,20.1]",20,1,"WT+DMSO","A1","Dark","1",2,481
