"Condition","Phase","Group","n_animals","exp_sums","mean","sd","sem","median","iqr","CI_lower","CI_upper"
"WT+DMSO","Dark","1",32,1078995,33718.59375,22130.7739713633,3912.20508701444,26700,27380.75,26050.6717794517,41386.5157205483
"Mut1","Dark","1",32,922924,28841.375,30105.7964055043,5322.00319783842,17004.5,27695.75,18410.2487322367,39272.5012677633
"Mut2","Dark","1",32,1130030,35313.4375,36419.6397414801,6438.14355739291,20082.5,38532.75,22694.6761275099,47932.1988724901
"Mut3","Dark","1",32,1217294,38040.4375,33787.5111589852,5972.84456498364,27154,36252.5,26333.6621526321,49747.2128473679
"Mut4","Dark","1",32,1088376,34011.75,31245.4722448942,5523.47132643518,25860.5,34935,23185.746200187,44837.753799813
"MUT+DMSO","Dark","1",32,907350,28354.6875,23314.7030716359,4121.49616082614,18228,23116,20276.5550247808,36432.8199752192
"WT+DMSO","Trans 1","1",32,208565,6517.65625,6246.62577618522,1104.25786146881,5464.5,4545.75,4353.31084152113,8682.00165847887
"Mut1","Trans 1","1",32,230037,7188.65625,4903.37184584948,866.801870719842,5291.5,7860,5489.72458338911,8887.58791661089
"Mut2","Trans 1","1",32,222051,6939.09375,5384.70823697803,951.890927269556,4547,8110.5,5073.38753255167,8804.79996744833
"Mut3","Trans 1","1",32,258975,8092.96875,6397.57320665233,1130.94184939031,6390.5,8837.25,5876.322725195,10309.614774805
"Mut4","Trans 1","1",32,249503,7796.96875,6840.58418786364,1209.25586662896,5814.5,7149,5426.82725140723,10167.1102485928
"MUT+DMSO","Trans 1","1",32,175154,5473.5625,3885.90971569701,686.93827776201,4087.5,5786.5,4127.16347558646,6819.96152441354
"WT+DMSO","Light","1",32,119627,3738.34375,5539.42835416502,979.241838281781,1949,3528.75,1819.02974696771,5657.65775303229
"Mut1","Light","1",32,83909,2622.15625,3716.58462803944,657.005548335092,1105.5,2523.25,1334.42537526322,3909.88712473678
"Mut2","Light","1",32,88275,2758.59375,5630.42467234288,995.327866693424,523,2039.25,807.751131280889,4709.43636871911
"Mut3","Light","1",32,90861,2839.40625,4393.67833890536,776.699936948106,925,2844.25,1317.07437358171,4361.73812641829
"Mut4","Light","1",32,108306,3384.5625,6315.75012752936,1116.47743586395,1048,4040.5,1196.26672570665,5572.85827429335
"MUT+DMSO","Light","1",32,48548,1517.125,2115.82798175728,374.029078431205,666.5,1985.25,784.028006274838,2250.22199372516
"WT+DMSO","Trans 2","1",32,304873,9527.28125,6392.93960469787,1130.12273654948,7380.5,8611.75,7312.24068636303,11742.321813637
"Mut1","Trans 2","1",32,267197,8349.90625,8520.13088404456,1506.16058117621,4530,11427,5397.83151089463,11301.9809891054
"Mut2","Trans 2","1",32,337339,10541.84375,10676.2972834441,1887.32055177171,6609,11952.25,6842.69546852745,14240.9920314725
"Mut3","Trans 2","1",32,276414,8637.9375,7624.54975058813,1347.84270803377,7237.5,8790.25,5996.16579225382,11279.7092077462
"Mut4","Trans 2","1",32,305618,9550.5625,10112.9622313515,1787.73604291802,4992,10556.75,6046.59985588068,13054.5251441193
"MUT+DMSO","Trans 2","1",32,239414,7481.6875,5524.15556201915,976.541964558281,6014,7478.25,5567.66524946577,9395.70975053423
"WT+DMSO","600Hz","2",32,306814,9587.9375,7020.02835182906,1240.97741292504,7399,7777.5,7155.62177066692,12020.2532293331
"Mut1","600Hz","2",32,262245,8195.15625,10733.2032260145,1897.38019624204,4525,10572.5,4476.2910653656,11914.0214346344
"Mut2","600Hz","2",32,440757,13773.65625,14900.6982378276,2634.09619209558,7991,18074.75,8610.82771349266,18936.4847865073
"Mut3","600Hz","2",32,353246,11038.9375,9470.86071960523,1674.22745962654,8497,10268.75,7757.45167913198,14320.423320868
"Mut4","600Hz","2",32,313211,9787.84375,11313.3371110253,1999.93434726385,6381.5,11203.25,5867.97242936286,13707.7150706371
"MUT+DMSO","600Hz","2",32,266496,8328,8072.56285402957,1427.04098390973,6030,9476.25,5530.99967153692,11125.0003284631
"WT+DMSO","200Hz","2",32,329717,10303.65625,8626.04197954444,1524.88319463393,8343.5,9002.75,7314.88518851751,13292.4273114825
"Mut1","200Hz","2",32,257198,8037.4375,10052.3105927957,1777.0142466898,4613.5,15304,4554.489576488,11520.385423512
"Mut2","200Hz","2",32,424626,13269.5625,14648.9864626555,2589.59941631341,7845.5,18216.5,8193.94764402571,18345.1773559743
"Mut3","200Hz","2",32,358217,11194.28125,11324.1993129597,2001.85453142546,7771.5,10615.5,7270.64636840609,15117.9161315939
"Mut4","200Hz","2",32,324512,10141,12167.4425918435,2150.92029159763,6354,11923.5,5925.19622846864,14356.8037715314
"MUT+DMSO","200Hz","2",32,292135,9129.21875,8672.01722536668,1533.01054665583,7310.5,7924,6124.51807855457,12133.9194214454
