"Condition","time","Phase","Group","n_samples","exp_sums","mean","median","iqr","sd","sem","CI_lower","CI_upper"
"WT+DMSO",1,"Dark","1",32,14470,452.1875,243.5,420,583.083208663915,103.075522710566,250.15947548729,654.21552451271
"WT+DMSO",2,"Dark","1",32,12122,378.8125,215,439,401.900841365532,71.0467025735366,239.560962955868,518.064037044132
"WT+DMSO",3,"Dark","1",32,14277,446.15625,222,481,722.473042665975,127.716396923397,195.832112030141,696.480387969859
"WT+DMSO",4,"Dark","1",32,12088,377.75,158.5,419.75,646.927577339675,114.361719218367,153.601030332,601.898969668
"WT+DMSO",5,"Dark","1",32,19711,615.96875,401.5,465.25,985.659971611456,174.24171246765,274.454993563406,957.482506436594
"WT+DMSO",6,"Dark","1",32,14275,446.09375,243.5,523.25,656.579472593109,116.067949364619,218.600569245348,673.586930754652
"WT+DMSO",7,"Dark","1",32,11279,352.46875,150,339,613.398780165126,108.434609256579,139.936915857105,565.000584142895
"WT+DMSO",8,"Dark","1",32,10126,316.4375,250.5,473,300.413901304141,53.1061766937161,212.349393680316,420.525606319684
"WT+DMSO",9,"Dark","1",32,15048,470.25,246,694.75,482.438095644438,85.2838122332266,303.093728022876,637.406271977124
"WT+DMSO",10,"Dark","1",32,13257,414.28125,299,524.75,441.519461038589,78.050351231554,261.302561586154,567.259938413846
"WT+DMSO",11,"Dark","1",32,11074,346.0625,244.5,481,386.929679157471,68.4001499936457,211.998206012455,480.126793987546
"WT+DMSO",12,"Dark","1",32,16388,512.125,317.5,687.25,644.881121828142,113.999953575967,288.685090991105,735.564909008895
"WT+DMSO",13,"Dark","1",32,18285,571.40625,354,748.25,649.660946776185,114.844915234378,346.310216140619,796.502283859381
"WT+DMSO",14,"Dark","1",32,12626,394.5625,254.5,434.5,507.307626816123,89.6801657673337,218.789375096026,570.335624903974
"WT+DMSO",15,"Dark","1",32,11984,374.5,185.5,411.75,506.57770158381,89.5511319969518,198.979781285975,550.020218714026
"WT+DMSO",16,"Dark","1",32,13731,429.09375,355,427.75,349.87420406391,61.8496055639592,307.86852309464,550.31897690536
"WT+DMSO",17,"Dark","1",32,13638,426.1875,260.5,691.75,487.022582605511,86.0942426878356,257.442784331842,594.932215668158
"WT+DMSO",18,"Dark","1",32,20190,630.9375,470,723.5,678.048762995701,119.863219572353,396.005589638189,865.869410361811
"WT+DMSO",19,"Dark","1",32,17028,532.125,288.5,573.25,629.298265095029,111.245267659406,314.084275387564,750.165724612436
"WT+DMSO",20,"Dark","1",32,16439,513.71875,383,632,460.026663629403,81.3219933447435,354.327643044303,673.109856955697
"WT+DMSO",21,"Dark","1",32,10220,319.375,232,409.25,331.499014740909,58.601300319989,204.516451372821,434.233548627178
"WT+DMSO",22,"Dark","1",32,14696,459.25,280,382,575.099318210735,101.664156940643,259.98825239634,658.51174760366
"WT+DMSO",23,"Dark","1",32,16137,504.28125,321.5,473.25,525.44213237597,92.885923731042,322.224839487158,686.337660512842
"WT+DMSO",24,"Dark","1",32,12105,378.28125,328,430.25,390.983477447701,69.1167670587917,242.812386564768,513.750113435232
"WT+DMSO",25,"Dark","1",32,17743,554.46875,435.5,842.25,534.307691007115,94.4531478878144,369.340580139884,739.596919860116
"WT+DMSO",26,"Dark","1",32,13063,408.21875,345,623.5,367.204938329907,64.9132754945663,280.98873003065,535.44876996935
"WT+DMSO",27,"Dark","1",32,11801,368.78125,338.5,511.25,423.813161388517,74.9202900934822,221.937481416775,515.625018583225
"WT+DMSO",28,"Dark","1",32,11170,349.0625,110.5,513.5,590.388223148343,104.366879030218,144.503417100774,553.621582899226
"WT+DMSO",29,"Dark","1",32,11569,361.53125,265.5,544.25,398.065401043678,70.3686861084319,223.608625227474,499.453874772526
"WT+DMSO",30,"Dark","1",32,12010,375.3125,242,660.75,376.42867100533,66.5438164752271,244.886619708555,505.738380291445
"WT+DMSO",31,"Dark","1",32,6444,201.375,116,287.75,245.056116022433,43.3202103526749,116.467387708757,286.282612291243
"WT+DMSO",32,"Dark","1",32,15350,479.6875,251.5,490.75,623.746559238037,110.263855444748,263.570343328294,695.804656671706
"WT+DMSO",33,"Dark","1",32,10206,318.9375,186,553.5,377.216711693219,66.6831237037915,188.238577540569,449.636422459431
"WT+DMSO",34,"Dark","1",32,12405,387.65625,274.5,352,514.363785496846,90.9275301804006,209.438290846415,565.874209153585
"WT+DMSO",35,"Dark","1",32,11711,365.96875,181.5,545.75,508.976422825199,89.9751700109424,189.617416778553,542.320083221447
"WT+DMSO",36,"Dark","1",32,14476,452.375,337.5,658.75,444.931219766135,78.653470664559,298.214197497464,606.535802502536
"WT+DMSO",37,"Dark","1",32,12934,404.1875,300.5,565.25,440.536508501373,77.8765881303916,251.549387264433,556.825612735567
"WT+DMSO",38,"Dark","1",32,12221,381.90625,221.5,561,426.876907495856,75.4618890055656,234.000947549091,529.811552450909
"WT+DMSO",39,"Dark","1",32,16095,502.96875,332.5,596,637.922509419595,112.769833070534,281.939877181754,723.997622818246
"WT+DMSO",40,"Dark","1",32,10995,343.59375,238,518.25,332.191924643552,58.7237906427165,228.495120340276,458.692379659724
"WT+DMSO",41,"Dark","1",32,10323,322.59375,226.5,529.25,396.466803668719,70.0860913473766,185.225010959142,459.962489040858
"WT+DMSO",42,"Dark","1",32,14056,439.25,311.5,607.75,490.02442335446,86.6248981752416,269.465199576527,609.034800423473
"WT+DMSO",43,"Dark","1",32,13105,409.53125,192.5,462.5,527.030205682381,93.1666580820381,226.924600159205,592.137899840795
"WT+DMSO",44,"Dark","1",32,7401,231.28125,119.5,391.75,319.19032995044,56.425411699282,120.687443069407,341.875056930593
"WT+DMSO",45,"Dark","1",32,13230,413.4375,106.5,702,569.78880849866,100.725382583401,216.015750136533,610.859249863467
"WT+DMSO",46,"Dark","1",32,15796,493.625,273.5,826,547.568275312798,96.7973101590755,303.902272088212,683.347727911788
"WT+DMSO",47,"Dark","1",32,10286,321.4375,223.5,403.25,372.8554106595,65.9121473198569,192.249691253081,450.625308746919
"WT+DMSO",48,"Dark","1",32,10967,342.71875,252,358.25,415.035345123295,73.3685767421953,198.916339585297,486.521160414703
"WT+DMSO",49,"Dark","1",32,14767,461.46875,333,548.25,446.168634716559,78.8722167902057,306.879205091197,616.058294908803
"WT+DMSO",50,"Dark","1",32,15893,496.65625,221.5,557.25,696.318457426791,123.09287577796,255.394213475198,737.918286524802
"WT+DMSO",51,"Dark","1",32,12319,384.96875,235.5,422.25,443.167810958056,78.3417410830098,231.418937477301,538.518562522699
"WT+DMSO",52,"Dark","1",32,12481,390.03125,322.5,357,319.638251614479,56.5045938108026,279.282246130827,500.780253869173
"WT+DMSO",53,"Dark","1",32,8534,266.6875,140.5,328.25,349.429252380728,61.7709484758397,145.616440987354,387.758559012646
"WT+DMSO",54,"Dark","1",32,11355,354.84375,154.5,453.75,561.006762616649,99.172921534436,160.464823792505,549.222676207495
"WT+DMSO",55,"Dark","1",32,12518,391.1875,271,465.25,381.958487653204,67.5213591878346,258.845635991844,523.529364008156
"WT+DMSO",56,"Dark","1",32,13878,433.6875,247.5,528.5,476.036013648466,84.1520733349605,268.749436263477,598.625563736523
"Mut1",1,"Dark","1",32,13105,409.53125,215.5,456.5,523.42371563458,92.5291146897677,228.174185208055,590.888314791945
"Mut1",2,"Dark","1",32,8775,274.21875,180,462.75,272.790210586699,48.2229519367903,179.701764203891,368.735735796109
"Mut1",3,"Dark","1",32,10359,323.71875,167,385,442.221170352647,78.174397085152,170.496931713102,476.940568286898
"Mut1",4,"Dark","1",32,13875,433.59375,300,526.75,476.041531081602,84.1530486885569,268.653774570428,598.533725429572
"Mut1",5,"Dark","1",32,12183,380.71875,275,531,523.475928175339,92.538344650176,199.343594485655,562.093905514345
"Mut1",6,"Dark","1",32,11979,374.34375,177.5,443,635.121355402816,112.274654320431,154.285427531956,594.402072468044
"Mut1",7,"Dark","1",32,9639,301.21875,212.5,473.75,357.758319429427,63.2433334236127,177.261816489719,425.175683510281
"Mut1",8,"Dark","1",32,9227,288.34375,235,391.75,339.962010152273,60.0973606811205,170.552923065004,406.134576934996
"Mut1",9,"Dark","1",32,9509,297.15625,183,469.5,339.884336054431,60.0836297107939,179.392335766844,414.920164233156
"Mut1",10,"Dark","1",32,9861,308.15625,140.5,444.75,454.178670922543,80.2882045199059,150.791369140984,465.521130859016
"Mut1",11,"Dark","1",32,8696,271.75,152.5,428,308.398569094208,54.5176798786856,164.895347437776,378.604652562224
"Mut1",12,"Dark","1",32,10570,330.3125,196.5,457,411.187535701326,72.6883737084483,187.843287531441,472.781712468559
"Mut1",13,"Dark","1",32,10770,336.5625,177,514.5,427.130103130182,75.5066480930653,188.569469737592,484.555530262408
