"Condition","loc_coord","loc_id","plate","Phase","Group","seconds_total","exp_sums","mean","sd","sem","median","iqr","CI_lower","CI_upper","phase_con_mean","phase_con_sd","phase_con_sem"
"WT+DMSO","A1",1,1,"Dark","1",91,35126,386,287.207048814769,30.1074794272174,310,390,326.989340322654,445.010659677346,370.533997252747,243.19531836663,42.9912646924663
"WT+DMSO","A1",1,2,"Dark","1",91,21866,240.285714285714,213.152438186294,22.3444468860998,190,329.5,196.490598388959,284.08083018247,370.533997252747,243.19531836663,42.9912646924663
"WT+DMSO","A2",2,1,"Dark","1",91,16819,184.824175824176,335.683600811061,35.1892028666449,26,214,115.853338205552,253.7950134428,370.533997252747,243.19531836663,42.9912646924663
"WT+DMSO","A2",2,2,"Dark","1",91,16406,180.285714285714,276.186421973528,28.9522038263331,68,272.5,123.539394786101,237.032033785327,370.533997252747,243.19531836663,42.9912646924663
"Mut1","A3",3,1,"Dark","1",91,46856,514.901098901099,531.035488559748,55.6676450418399,366,514.5,405.792514619093,624.009683183105,316.938186813187,330.832927533015,58.4835516245981
"Mut1","A3",3,2,"Dark","1",91,16475,181.043956043956,164.212593378753,17.2141571637729,165,239.5,147.304208002961,214.783704084951,316.938186813187,330.832927533015,58.4835516245981
"Mut1","A4",4,1,"Dark","1",91,9917,108.978021978022,255.140178377908,26.7459580232086,0,91,56.5559442525331,161.400099703511,316.938186813187,330.832927533015,58.4835516245981
"Mut1","A4",4,2,"Dark","1",91,13287,146.010989010989,301.607820945806,31.6170905334228,0,165.5,84.0414915654803,207.980486456498,316.938186813187,330.832927533015,58.4835516245981
"Mut2","A5",5,1,"Dark","1",91,10353,113.769230769231,328.164798603895,34.4010182322365,0,0,46.3432350340472,181.195226504414,388.059752747253,400.215821334946,70.748830301021
"Mut2","A5",5,2,"Dark","1",91,22780,250.32967032967,219.189722738851,22.9773262712419,193,279.5,205.294110838036,295.365229821305,388.059752747253,400.215821334946,70.748830301021
"Mut2","A6",6,1,"Dark","1",91,27962,307.274725274725,368.921553417949,38.6734870387931,199,474,231.474690678691,383.07475987076,388.059752747253,400.215821334946,70.748830301021
"Mut2","A6",6,2,"Dark","1",91,14034,154.21978021978,289.02844159155,30.2984132701789,2,186.5,94.8348902102297,213.604670229331,388.059752747253,400.215821334946,70.748830301021
"Mut3","A7",7,1,"Dark","1",91,10205,112.142857142857,177.467403669179,18.6036388278808,0,199,75.6797250402107,148.605989245504,418.026785714286,371.29133141742,65.6356545602598
"Mut3","A7",7,2,"Dark","1",91,39391,432.868131868132,492.432447906224,51.620946824995,270,475,331.691076091142,534.045187645122,418.026785714286,371.29133141742,65.6356545602598
"Mut3","A8",8,1,"Dark","1",91,40941,449.901098901099,438.742649319749,45.9927266505095,300,582,359.7553546661,540.046843136098,418.026785714286,371.29133141742,65.6356545602598
"Mut3","A8",8,2,"Dark","1",91,23393,257.065934065934,220.225783241644,23.0859349227423,182,222.5,211.817501617359,302.314366514509,418.026785714286,371.29133141742,65.6356545602598
"Mut4","A9",9,1,"Dark","1",91,61335,674.010989010989,459.526483205037,48.1714644415989,603,534,579.594918705455,768.427059316523,373.755494505494,343.35683785598,60.6974871036833
"Mut4","A9",9,2,"Dark","1",91,3757,41.2857142857143,162.585381720517,17.0435790330263,0,0.5,7.88029938098267,74.6911291904459,373.755494505494,343.35683785598,60.6974871036833
"Mut4","A10",10,1,"Dark","1",91,38367,421.615384615385,458.525214846002,48.0665029977724,328,310,327.405038739751,515.825730491019,373.755494505494,343.35683785598,60.6974871036833
"Mut4","A10",10,2,"Dark","1",91,11012,121.010989010989,124.608319189504,13.0625011535761,112,209,95.4084867499798,146.613491271998,373.755494505494,343.35683785598,60.6974871036833
"MUT+DMSO","A11",11,1,"Dark","1",91,47583,522.89010989011,513.987882489017,53.8805703472043,372,569.5,417.284192009589,628.49602777063,311.589972527473,256.205528259735,45.2911666024851
"MUT+DMSO","A11",11,2,"Dark","1",91,17918,196.901098901099,291.305416471177,30.5371050941698,97,274,137.048372916526,256.753824885672,311.589972527473,256.205528259735,45.2911666024851
"MUT+DMSO","A12",12,1,"Dark","1",91,10849,119.21978021978,217.658897370164,22.8168521690755,0,194.5,74.4987499683922,163.940810471168,311.589972527473,256.205528259735,45.2911666024851
"MUT+DMSO","A12",12,2,"Dark","1",91,29204,320.923076923077,322.853948086239,33.844289825461,255,338,254.588268865173,387.25788498098,311.589972527473,256.205528259735,45.2911666024851
