"Condition","Phase","Group","n_plates","exp_sums","mean","sd","sem","median","CI_lower","CI_upper"
"WT+DMSO","Dark","1",2,1078995,539497.5,291922.670651835,206420.5,539497.5,134913.32,944081.68
"Mut1","Dark","1",2,922924,461462,304177.53827658,215086,461462,39893.44,883030.56
"Mut2","Dark","1",2,1130030,565015,398815.295657025,282005,565015,12285.2,1117744.8
"Mut3","Dark","1",2,1217294,608647,448218.018031404,316938,608647,-12551.48,1229845.48
"Mut4","Dark","1",2,1088376,544188,460981.295431821,325963,544188,-94699.48,1183075.48
"MUT+DMSO","Dark","1",2,907350,453675,265215.954633201,187536,453675,86104.44,821245.56
"WT+DMSO","Trans 1","1",2,208565,104282.5,38133.5616026093,26964.5,104282.5,51432.08,157132.92
"Mut1","Trans 1","1",2,230037,115018.5,72484.8090326518,51254.5,115018.5,14559.68,215477.32
"Mut2","Trans 1","1",2,222051,111025.5,38101.0346906747,26941.5,111025.5,58220.16,163830.84
"Mut3","Trans 1","1",2,258975,129487.5,83252.6310965606,58868.5,129487.5,14105.24,244869.76
"Mut4","Trans 1","1",2,249503,124751.5,61336.5635204647,43371.5,124751.5,39743.36,209759.64
"MUT+DMSO","Trans 1","1",2,175154,87577,29523.1223281007,20876,87577,46660.04,128493.96
"WT+DMSO","Light","1",2,119627,59813.5,18205.87829521,12873.5,59813.5,34581.44,85045.56
"Mut1","Light","1",2,83909,41954.5,5427.04454560675,3837.5,41954.5,34433,49476
"Mut2","Light","1",2,88275,44137.5,6558.41539550523,4637.5,44137.5,35048,53227
"Mut3","Light","1",2,90861,45430.5,35757.6828178225,25284.5,45430.5,-4127.12,94988.12
"Mut4","Light","1",2,108306,54153,32908.7495964219,23270,54153,8543.80000000001,99762.2
"MUT+DMSO","Light","1",2,48548,24274,8944.90078200983,6325,24274,11877,36671
"WT+DMSO","Trans 2","1",2,304873,152436.5,88544.6182469607,62610.5,152436.5,29719.92,275153.08
"Mut1","Trans 2","1",2,267197,133598.5,88345.2141346661,62469.5,133598.5,11158.28,256038.72
"Mut2","Trans 2","1",2,337339,168669.5,139136.694227296,98384.5,168669.5,-24164.12,361503.12
"Mut3","Trans 2","1",2,276414,138207,93625.180469786,66203,138207,8449.12000000002,267964.88
"Mut4","Trans 2","1",2,305618,152809,140939.10941254,99659,152809,-42522.64,348140.64
"MUT+DMSO","Trans 2","1",2,239414,119707,69138.0726372959,48888,119707,23886.52,215527.48
"WT+DMSO","600Hz","2",2,306814,153407,81793.8698069727,57837,153407,40046.48,266767.52
"Mut1","600Hz","2",2,262245,131122.5,97498.0043103447,68941.5,131122.5,-4002.84,266247.84
"Mut2","600Hz","2",2,440757,220378.5,172087.870230589,121684.5,220378.5,-18123.12,458880.12
"Mut3","600Hz","2",2,353246,176623,118096.73195309,83507,176623,12949.28,340296.72
"Mut4","600Hz","2",2,313211,156605.5,145923.505113124,103183.5,156605.5,-45634.16,358845.16
"MUT+DMSO","600Hz","2",2,266496,133248,79797.0002569019,56425,133248,22655,243841
"WT+DMSO","200Hz","2",2,329717,164858.5,101718.017580466,71925.5,164858.5,23884.52,305832.48
"Mut1","200Hz","2",2,257198,128599,95752.1576675952,67707,128599,-4106.72,261304.72
"Mut2","200Hz","2",2,424626,212313,172449.201795775,121940,212313,-26689.4,451315.4
"Mut3","200Hz","2",2,358217,179108.5,138638.89105334,98032.5,179108.5,-13035.2,371252.2
"Mut4","200Hz","2",2,324512,162256,164784.164287713,116520,162256,-66123.2,390635.2
"MUT+DMSO","200Hz","2",2,292135,146067.5,98347.946661331,69542.5,146067.5,9764.20000000001,282370.8
