time	Loc01	Loc02	Loc03	Loc04	Loc05	Loc06	Loc07	Loc08	Loc09	Loc10	Loc11	Loc12	Loc13	Loc14	Loc15	Loc16	Loc17	Loc18	Loc19	Loc20	Loc21	Loc22	Loc23	Loc24	Loc25	Loc26	Loc27	Loc28	Loc29	Loc30	Loc31	Loc32	Loc33	Loc34	Loc35	Loc36	Loc37	Loc38	Loc39	Loc40	Loc41	Loc42	Loc43	Loc44	Loc45	Loc46	Loc47	Loc48	Loc49	Loc50	Loc51	Loc52	Loc53	Loc54	Loc55	Loc56	Loc57	Loc58	Loc59	Loc60	Loc61	Loc62	Loc63	Loc64	Loc65	Loc66	Loc67	Loc68	Loc69	Loc70	Loc71	Loc72	Loc73	Loc74	Loc75	Loc76	Loc77	Loc78	Loc79	Loc80	Loc81	Loc82	Loc83	Loc84	Loc85	Loc86	Loc87	Loc88	Loc89	Loc90	Loc91	Loc92	Loc93	Loc94	Loc95	Loc96
0	0	0	13	1	6	0	29	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	1	0	14	0	21	0	0	0	0	41	0	0	46	20	57	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	28	58	0	0	49	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0
33533	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	2	0	0	13	0	20	0	0	0	0	76	0	0	36	7	38	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	24	21	0	0	40	0	0	0	132	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
66385	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	5	0	14	6	0	0	0	0	0	0	86	0	0	23	16	31	0	24	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	2	0	0	10	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99880	0	0	0	0	0	19	0	21	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	66	0	35	0	0	0	0	0	0	0	40	0	0	28	14	20	0	13	0	0	0	0	0	0	2	0	0	0	2	0	60	0	0	0	0	0	42	0	0	0	0	43	0	0	0	0	5	0	0	0	37	2	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133016	0	0	0	0	0	19	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	38	0	34	0	0	0	0	0	0	0	19	88	0	15	14	7	0	0	0	0	31	0	0	0	0	0	0	0	0	3	60	0	10	0	0	0	120	0	0	0	0	97	0	0	0	0	1	0	0	0	62	51	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166326	0	0	0	1	0	29	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	70	0	0	0	0	0	0	0	9	120	0	15	15	5	0	0	0	0	58	0	0	0	0	0	0	0	1	113	75	0	119	0	0	0	133	0	0	0	0	99	0	0	0	0	6	0	0	0	104	43	0	0	78	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
199660	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	6	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	20	0	43	0	0	0	24	0	0	0	0	158	0	0	0	0	0	0	0	0	46	0	0	0	23	0	43	0	0	0	64	0	0	0	0	0	0	0	0	0	0
233003	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	35	0	0	0	0	0	0	0	41	11	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	25	0	0	0	3	0	27	0	0	103	0	0	0	0	0	0	0	0	14	0	0	0	9	0	30	0	0	0	41	38	0	0	0	0	0	0	0	0	0
266793	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	64	7	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	13	0	0	0	0	0	68	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	4	0	29	0	21	0	22	109	0	0	0	0	0	0	0	0	7
299973	0	0	0	0	0	0	0	0	0	8	0	0	10	0	0	0	0	0	21	0	0	0	23	0	25	0	0	27	0	0	0	0	0	0	0	56	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	3	0	0	0	0	0	37	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	78	0	17	72	0	0	0	0	0	0	0	0	2
333040	0	0	0	0	0	0	0	0	0	2	0	0	75	0	0	0	0	0	7	0	0	0	86	0	0	0	0	6	0	0	0	0	0	7	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0	0	1	0	0	0	0	0	23	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	33	0	6	54	0	0	0	0	0	0	0	0	6
366372	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	73	141	0	0	0	0	0	0	0	0	0	0	110	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	12	0	0	0	0	1	0	0	0	0
399898	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	66	80	0	0	0	0	0	0	0	0	0	0	103	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	42	0	0	0	0	60	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	31	0	58	0	0
433337	1	0	0	0	0	0	76	0	0	0	0	0	12	0	0	0	0	0	0	0	0	59	51	0	0	0	0	0	0	0	0	0	0	195	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	35	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	13	0	34	0	0
466405	79	0	0	0	0	0	43	0	0	0	0	0	5	0	0	0	0	0	0	0	0	36	10	0	0	0	0	0	0	0	0	0	0	140	11	0	0	0	0	0	0	0	0	0	60	0	0	0	0	97	0	0	0	12	0	0	1	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	35	0	0
500023	73	0	42	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	0	22	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	56	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	27	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
533002	48	0	41	0	0	0	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	99	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	6	0	0	26	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
566352	25	0	43	0	0	0	1	0	0	0	0	0	0	69	0	38	0	0	0	0	35	7	0	0	90	0	0	0	0	0	0	0	0	7	0	49	0	0	0	0	0	0	0	0	19	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	5	29	2	0	0	33	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
599934	8	0	35	0	95	0	0	0	0	0	0	75	0	286	0	0	0	0	0	0	13	2	0	0	62	7	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	73	11	0	0	0	36	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
633428	2	0	14	0	106	0	0	0	0	0	0	139	0	143	0	0	0	0	0	0	6	1	0	0	34	0	0	36	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	144	0	0	0	0	14	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
666383	0	0	8	0	92	0	0	0	0	0	0	60	0	93	0	0	0	0	0	0	0	0	0	0	28	0	0	43	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	42	0	0	0	0	0	0	73	0	0	0	0	48	0	0	0
699962	0	0	0	0	155	0	0	13	0	0	0	56	0	22	0	12	0	0	0	0	0	0	0	0	20	0	0	42	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	18	0	0	0	0	0	0	65	0	0	0	0	93	0	0	0
733272	0	0	0	0	109	0	0	0	0	0	0	40	0	87	0	38	0	0	0	0	0	0	0	0	12	1	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	37	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	8	0	0	0	0	0	0	35	0	0	0	0	60	0	0	0
766586	0	0	0	0	15	0	0	1	0	0	0	21	0	102	0	26	0	0	0	0	0	0	0	0	5	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	47	39	0	0	0	0	0	0	0	0	0	34	0	29	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	0	0	0	127	0	0	0
